Division,Year,Val_1,Val_2,Val_3,Val_4,Val_5,Val_6,Val_7,Val_8,Val_9,Val_10,Val_11,Val_12
01,1895,1.47,-0.5,-0.6,-0.84,0.78,0.46,0.65,0.65,1.48,-0.96,-1.29,0.0
01,1896,1.35,-0.84,-0.94,1.99,3.45,2.96,2.82,2.82,2.55,1.95,2.41,2.29
01,1897,1.17,1.73,2.3,-0.5,-1.05,-0.64,-0.7,-0.76,-0.77,-0.77,-0.78,-1.11
01,1898,-2.15,-1.55,-2.53,-2.82,0.73,1.02,1.32,1.28,1.58,-0.37,-0.58,-1.15
01,1899,-0.69,-1.27,0.9,0.27,0.61,0.67,0.87,0.98,0.88,1.68,2.12,-0.1
01,1900,-0.51,-0.77,-1.15,0.21,0.39,0.72,0.92,1.05,0.82,2.01,-0.57,-1.05
01,1901,-0.96,-0.6,-1.32,-0.78,-0.92,-1.13,-1.25,-0.02,1.12,-0.27,-0.1,-0.65
01,1902,-1.61,2.69,2.33,2.9,3.2,2.71,2.61,2.52,1.9,2.21,2.55,2.22
01,1903,2.79,-0.57,0.66,-0.58,-1.05,-1.27,-1.49,-1.51,-1.77,-2.1,1.66,-0.55
01,1904,-1.31,2.54,4.89,4.91,-0.68,-1.01,-1.01,-1.19,0.74,1.2,-0.51,-0.44
01,1905,-0.29,-0.96,-0.3,-0.75,-0.22,-0.27,-0.09,-0.28,-0.38,-1.0,-1.15,-1.41
01,1906,1.01,1.05,1.98,1.44,2.49,3.2,3.81,3.36,3.03,1.92,1.46,1.76
01,1907,2.02,2.23,4.18,3.67,3.4,3.72,3.93,4.22,-0.01,-0.53,-1.11,-0.12
01,1908,-0.44,-0.32,-1.27,-1.73,0.4,0.42,0.73,-0.23,-0.55,-0.3,-0.62,-1.08
01,1909,3.19,4.09,-0.48,-1.36,-1.81,-2.19,-2.38,-2.5,0.32,0.53,1.3,-0.29
01,1910,-0.59,-0.51,-1.06,-1.57,-1.94,-2.2,-2.47,-2.66,-2.66,-3.01,-2.3,-2.81
01,1911,-1.51,-1.8,-1.68,-1.35,-1.05,-1.02,-0.67,-0.8,-0.73,-1.15,-1.53,-1.6
01,1912,-1.53,-1.85,0.04,0.87,1.37,1.74,2.14,2.28,3.56,-0.09,0.16,-0.53
01,1913,-0.19,-1.27,-1.76,0.12,0.15,0.75,1.64,1.86,-0.21,-1.0,0.55,0.99
01,1914,2.76,-0.16,-1.14,-0.73,-0.96,0.47,0.64,0.49,0.79,1.05,0.21,0.12
01,1915,0.7,2.39,1.73,1.19,2.27,-0.22,0.23,-0.07,-0.48,-1.18,0.06,0.17
01,1916,1.6,-0.19,-0.44,-0.97,-1.0,0.25,0.75,1.06,-0.19,-0.77,-0.83,-0.83
01,1917,-1.39,-0.89,-1.36,-0.92,-0.92,-1.1,-1.2,-1.37,-1.41,-2.27,-2.02,-2.41
01,1918,-3.23,-2.69,-2.51,-2.68,-2.9,-3.14,-3.41,-3.18,0.9,-0.4,-0.34,-0.9
01,1919,0.13,1.3,1.15,0.02,-0.51,-0.87,-1.2,-1.45,-0.84,-1.36,-1.69,-1.38
01,1920,-2.66,-3.4,-3.1,0.53,-0.53,0.31,0.47,0.74,1.14,1.52,2.39,2.79
01,1921,2.95,-0.26,-0.77,-1.25,-0.74,-0.8,-0.67,-0.76,-0.85,-1.1,-1.0,-1.13
01,1922,-2.08,-1.27,-1.08,-1.43,-1.44,-1.28,-1.32,-1.4,-1.56,-0.98,-1.29,-0.77
01,1923,-1.42,-2.24,-3.35,0.76,0.35,0.71,0.93,0.98,1.78,-0.2,-0.86,-1.15
01,1924,-1.87,-2.2,-2.93,-3.48,-4.03,-4.42,-4.77,-4.23,-4.05,1.76,-0.5,-0.55
01,1925,-1.38,1.35,0.55,1.57,2.22,2.14,2.26,2.2,3.01,-0.69,-0.68,-1.28
01,1926,-1.42,-0.79,-2.21,-1.94,-1.9,-2.14,-2.47,-2.37,-2.44,0.16,1.75,1.18
01,1927,1.07,2.34,-0.35,0.37,0.25,0.37,0.42,-0.14,-0.27,-0.57,0.64,-0.55
01,1928,-1.12,-1.53,0.71,1.13,-0.75,-1.14,-1.55,-1.79,-1.86,-2.09,-1.67,-1.71
01,1929,-2.49,-2.91,-3.45,-2.94,-3.25,-2.36,-2.08,-2.01,-2.26,-2.83,-3.38,-1.99
01,1930,-2.03,-1.93,-2.51,-2.2,-2.14,-2.16,-2.15,-2.19,-1.53,-2.0,-2.03,-2.48
01,1931,-2.42,-2.98,-3.07,-3.3,-3.4,-2.58,-2.35,-2.43,-2.45,-1.99,-1.99,-1.16
01,1932,-1.64,-2.39,-2.75,-2.12,-1.45,-1.5,-1.26,-1.23,-1.64,-2.19,-2.1,-2.05
01,1933,-1.7,-2.22,-1.56,-2.11,1.22,1.13,1.25,-0.17,-0.26,-0.37,-1.25,0.82
01,1934,-0.84,-1.16,-1.87,-2.11,0.01,0.21,0.23,0.09,0.0,0.59,0.81,-0.6
01,1935,-0.52,-0.98,-0.98,1.11,-0.63,-1.13,-1.36,-1.39,-1.3,-1.12,-1.58,-1.49
01,1936,1.06,1.59,-0.98,-1.04,0.12,0.85,1.42,1.34,-0.4,-1.28,-1.99,-1.92
01,1937,-2.03,0.64,1.06,1.48,1.01,1.9,2.12,1.8,1.27,1.32,2.41,2.12
01,1938,1.78,3.28,4.9,0.04,-0.53,-0.99,-1.35,-1.63,-1.46,-1.14,-1.3,-1.71
01,1939,-2.06,-2.34,-2.49,-3.19,-2.74,-2.72,-2.67,-2.69,-2.66,-2.95,-3.4,0.88
01,1940,1.16,2.84,2.99,2.26,2.12,1.79,1.35,0.94,1.54,1.57,0.86,1.8
01,1941,2.44,2.72,2.33,2.95,3.44,3.68,4.07,3.92,3.57,2.95,2.48,3.3
01,1942,2.75,2.9,1.71,2.49,3.73,3.25,3.09,2.61,2.01,1.22,1.9,1.86
01,1943,2.2,-0.68,-0.88,0.26,0.16,0.46,0.71,0.64,-0.5,-0.08,-0.71,-1.43
01,1944,-1.71,-1.77,-2.28,0.28,0.36,1.01,1.77,1.91,1.48,1.15,1.69,-0.43
01,1945,-1.33,0.21,0.41,-0.45,1.09,-0.09,0.15,-0.16,-0.48,0.79,1.06,1.75
01,1946,-0.66,-0.87,-1.3,-1.95,-2.18,-2.37,-2.28,-2.35,-2.36,-2.42,-1.82,-2.42
01,1947,-3.15,-3.43,-2.73,-3.05,-3.34,0.67,0.91,1.0,0.58,1.82,-1.12,-1.9
01,1948,-1.87,-2.05,0.02,2.12,2.38,2.7,3.18,3.23,3.65,-0.38,-0.61,-0.43
01,1949,-1.6,-1.4,-0.5,-1.3,-1.03,-1.21,-1.41,-1.53,-1.68,-2.03,-2.17,-2.43
01,1950,1.05,0.68,1.02,0.66,0.46,0.72,0.74,0.47,0.34,2.79,-0.58,-0.53
01,1951,-0.12,-0.06,-0.81,-1.02,-0.79,-1.02,-1.14,-1.16,-1.37,0.44,0.69,1.35
01,1952,1.9,0.0,-0.11,-0.6,-0.74,0.85,1.48,0.02,-0.35,-1.21,-1.38,1.41
01,1953,2.31,1.21,1.19,1.53,2.64,3.0,3.39,3.71,2.97,2.55,2.72,1.66
01,1954,2.82,2.29,2.05,2.23,1.25,1.55,1.34,1.86,-0.04,-0.52,-0.4,-0.34
01,1955,-1.0,-1.72,-2.48,-1.44,-1.97,-2.25,-2.39,-2.45,-2.07,-2.33,0.43,2.05
01,1956,3.23,3.62,-0.97,-1.41,0.17,0.26,0.5,0.37,0.08,1.14,-1.25,-1.83
01,1957,-2.0,0.25,0.92,0.72,1.92,1.46,1.39,1.13,2.24,3.26,2.32,2.06
01,1958,2.32,4.42,4.44,4.69,3.98,4.28,4.42,4.15,-0.17,-0.94,-1.23,-1.55
01,1959,-0.53,-0.01,-0.68,-1.45,-1.76,-2.2,-2.69,-2.76,-1.62,-2.26,-2.83,-2.88
01,1960,-2.66,0.94,1.39,1.1,2.09,-0.32,-0.48,-0.77,-1.21,-1.63,-0.83,-1.06
